"search_keyword_en","search_keyword_tc","image_url","author_en","author_tc","author_sc","author_url"
"Natural Amber","天然琥珀","","","","",""
"Nature Rough Yellow Agate","天然黃瑪瑙原石"
"Silver Accessories","舊銀配件"
"Photocopy Machine","影印機"
"Paper Cutting Machine","切紙機"
"Paper Folding Machine","摺紙機"
"Manual Forklift","手唧車"
"Forklift","唧車"
"Hand Pallet Truck","手唧車"
"Mobile Phone","手提電話"
"Used Private Car","舊私家車"
"Wood Beads","木珠"
"Wood Logs","木頭"
"Diospyros Vaccinioides","小果柿"
"Wooden Pole","木竿"
"Pterocarpus Santalinus","小葉紫檀"
"Tudor Watch","舊手錶"
"Box","盒"
"Warranty Card","保用證"
"Desktop Computer","桌上電腦"
"Bracelet/Bangle","手鐲/手鏈"
"Cloth Bag","布袋"
"Clothing","衣物"
"Coloured Stone","顏色石"
"Floor Mat/Carpet","膠地毯"
"Necklace/Choker","頸鍊"
"Scarf/Neckerchief/Shawl","圍巾"
"Socks/Stockings","襪"
"Lens","鏡頭"
"Camera","相機"
"Digital Video Camera","數碼攝錄機"
"Digital Camera Body","數碼相機機身"
"Digital Single Lens Reflex Camera Body","單鏡反光機機身"
"Used Light Goods Vehicle","舊輕型貨車"
"Used Medium Goods Vehicle","舊中型貨車"
"Used Trailer Reg. No.: 45718T Chassis No.LSEJG3A4530006478","舊拖架"
"Used 45' Container No.: APHU4592440","舊四十五呎貨櫃"
"Used 40' Container No.: AETU0718381","舊四十呎貨櫃"
"Used 40' Container No.: TTNU3907213","舊四十呎貨櫃"
"Water Heater","熱水爐"
"Gas Stove","氣體煮食爐"
"Refrigerator","雪櫃"
"Television","電視機"
"Air-conditioner","冷氣機"
"Washing Machine","洗衣機"
"Video Camera","攝錄機"
"Camera Lens","鏡頭"
"Bracelet / Bangle","手鐲 /手鍊"
"Brooch","心口針"
"Earring","耳環"
"Necklace","項鍊"
"Pendant","吊墜"
"Ring","戒指"
"Jewellery Set","珠寶套裝"
"Charger","充電器"
"External Battery Pack","外置充電電池"
"Game Player","遊戲機"
"Computer Mouse","滑鼠"
"MP3 / Multimedia Player","多媒體播放器"
"Stylus Pen","觸控筆"
"Speaker","揚聲器"
"Earphone /Headphone / Bluetooth Handfree","耳筒機 /藍芽耳機"
"Portable Electric Fan","小型電風扇"
"Internet Wifi Device","無線網絡器"
"Monopod","電話用伸縮拍攝架"
"Tripod","相機腳架"
"Drone","航拍機"
"Digital Photo Printer","相片打影機"
"Electrical Baby Hair Cutter","電動嬰兒理髮器"
"Electronic Stewer","電燉盅"
"Electronic Lunch Box","電飯盒"
"Fill Light","補光燈"
"Watch","手錶"
"Electronic Wrist Band","電子手帶"
"Electronic Scale","電子磅"
"Pen","筆"
"Glasses / Sunglasses","眼鏡 /太陽眼鏡"
"Bag / Handbag","袋 / 手袋"
"Wallet","銀包"
"Shoes/ Slippers","鞋/拖鞋"
"Belt","皮帶"
"Cap /Hat","帽"
"Gloves","手套"
"Scarf","圍巾"
"Cup/ Glass / Water Bottle","杯/玻璃杯 /水樽"
"Tableware","餐具"
"Water Bottle Set","水壺套裝"
"Lighter","打火機"
"Clock","鐘"
"Book","書"
"Umbrella","雨傘"
"Helmet","頭盔"
"Erhu","二胡"
"Xiao","蕭"
"Electric Piano","電子琴"
"Drum","鼓"
"Oboe","雙簧管"
"Golf Set","高爾夫球套裝"
"Golf Club","高爾夫球桿"
"Skipping Rope","跳繩"
"Decoration","擺設"
"Painting","畫"
"Foldable Table","摺檯"
"Foldable Trolley","可摺手推車"
"Baby Stroller","嬰兒車"
"Wheelchair","輪椅"
"Walking Cane","拐杖"
"Toy","玩具"
"Mirror","鏡"
"Fishing Rod","魚竿"
"Chair","椅子"
"Used Motorcycle","舊電單車"
"Bicycle","單車"
"Electric Massager","舊電動按摩器"
"Earphone","舊耳機"
"Aerial Camera","舊航拍機"
"Aerial Camera Controller","舊航拍機遙控器"
"CD Player","舊光碟播放器"
"High Definition Driving Recorder","舊高清行車紀錄儀"
"Multimedia Player","舊多媒體播放器"
"Timer","舊計時器"
"Ceramic Heater","舊暖風機"
"Portable Game Console","舊手提遊戲機"
"Bag","舊袋"
"Calculator","舊計數機"
"Camera","舊相機"
"Camera Flash","舊相機閃光燈"
"Camera Lens","舊相機鏡頭"
"Musical Instrument","舊樂器"
"Assorted Tool","舊工具"
"Souvenir","舊紀念品"
"Aerial Camera Propeller","舊航拍機螺旋槳"
"Plastic Box","舊膠箱"
"Transformer","舊變壓器"
"USB Charging Cable","舊充電線"
"Tripod","舊三腳架"
"Baby Stroller","舊嬰兒手推車"
"Bracelet / Bangle","舊手鐲"
"Necklace / Chain","舊頸鏈"
"Pendant","舊吊墜"
"Ear-Ring","舊耳環"
"Ring Finger","舊戒指"
"Accessories","舊綠色飾品"
"Trinket","舊飾物"
"Wrist Watch","舊手錶"
"Genuine Wrist Watch","舊手錶"
"Voice Recording System","錄音系統"
"Server UXP","錄音系統伺服器"
"Admin PC for Voice Recording System","錄音系統電腦"
"Laser Cutter & Engraver","激光雕刻機"
"Odor Reduction System","除臭系統"
"Visualizer","實物投影機"
"Wireless Power Speaker","無線揚聲器"
"Wireless Microphone","無線麥克風"
"Projector Stand","投影機架"
"USB Card Reader","讀卡機"
"Cart with Drawer","抽屜車"
"LCD Projector","液晶投影機"
"Loudhailer","揚聲器"
"Portable Wireless Amplifier","便擕式無線擴音機"
"HiFi Set","音響組合"
"Wireless Receiver","無線接收器"
"Portable Overhead Projector","便擕式高影機"
"Wireless Amplifier with Microphone","無線擴音機連麥克風"
"Laminator","過膠機"
"Haloplate","電熱板"
"Induction Cooker","電磁爐"
"Ice Maker","製冰機"
"Sewing Machine","縫紉機"
"Overlock Machine","鈒骨機"
"Compact Grill Oven","電焗爐"
"Tumble Dryer","滾筒式乾衣機"
"Sandwich Maker","三文治機"
"Microwave Oven","微波爐"
"Iron","熨斗"
"Blender","攪拌機"
"Electronic Kiln","電子窰"
"Video Cassette Recorder","卡式錄影帶機"
"Video Imager","影片編輯器"
"Digital Video Camera & Accessories","數碼相機連配件"
"Adjustable Cart with Cabinet","可調節推車連櫃"
"Digital Presenter","數碼投影機"
"Mixer Amplifier","混音擴音機"
"Portable Trimmers","便擕式修邊機"
"Vacuum Former","真空吸塑機"
"Microphone Preamp","模擬音箱"
"Public Address Equipment Rack","廣播機架"
"Electric Induction Cooking Range","電磁爐"
"Portable Power Driven Sewing Machine","便擕式電力縫紉機"
"Serger","鈒骨機"
"Electric Cooker with Oven","電焗爐"
"Condenser Dryer","冷凝式乾衣機"
"6 kg Vented Tumble Dryers","6公斤滾筒式乾衣機"
"Potters Kick Wheel","拉坯機"
"Slide Projector","幻燈片機"
"Digital Camera","數碼相機"
"Freezer","直立式冷凍櫃"
"Duplicator","複印機"
"Mobile Projector","流動投影機"
"3D Printer","3D打印機"
"250GB Network Hardisk","磁碟機"
"Trolley","手推車"
"Digital Light Processing","數位光處理投影機"
"Projector","投影機"
"Calculator Display","計算機屏幕"
"Calculator Display System","計算機屏幕系統"
"Calculator Display Panel","計算機屏幕液晶控制台"
"4-drawer Steel Filing Cabinet","四桶文件鋼櫃"
"Folding Table","摺檯"
"Electric Tower Fan","直立電風扇"
"Metal Book Shelf","金屬製書架"
"Metal Table","金屬製書桌"
"Printer","打印機"
"Color LaserJet Printer","彩色打印機"
"3-seater Chair","3座位排椅"
"Outdoor Dining Table with Foldable Chairs","戶外桌連椅"
"Tea Urn 18L","電水煲"
"Steel Movable Platform","不銹鋼移動平台"
"Graphic Calculator","圖形計算機"
"Calculator-Based Ranger/Calculator-Based Laboratory System","運動傳感器"
"Viewscreen Package","監測套裝"
"Repeater","複讀機"
"Speaker System All-Weather","全天候揚聲器"
"Mini Disc Recorder","錄音器"
"2-Channel Feedback Reducer Unit","減速器"
"Audio Toolbox","音量測試儀"
"Digital Audio Machine","錄音機"
"Digital Video Machine","錄影機"
"Power Amplifier","放音器"
"Mini Disc Player","播音器"
"MD Recorder","錄音器"
"Feedback Reduction Unit","減速器"
"Amplifier","擴大器"
"AV Amplifer","影音擴大器"
"US Front Fabric Frame Screen","屏幕"
"Slide Projector with Accessories and Trolley","幻燈機連座"
"Multi System VHS Recorder","錄影機"
"DVD Player","播放器"
"Solid State Audio Player","播放器"
"Cassette Deck","卡式錄音機"
"DVD/VCD/LD/CD Player","播放器"
"Betacam Editing Recorder","編輯錄音器"
"High-Definition Player","播放器"
"Hi-Fi System","立體聲音響系統"
"Video Player","播放器"
"Loudspeaker","揚聲器"
"Sub Bass Speaker","揚聲器"
